City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Talcahuano,CL,-36.7167,-73.1167,60.48,55,0,16.11,clear sky
105,Sassandra,CI,4.95,-6.0833,75.94,91,22,5.93,few clouds
106,Pangnirtung,CA,66.1451,-65.7125,30.2,59,75,0.0,broken clouds
107,Adiake,CI,5.2863,-3.304,75.7,89,78,6.13,light rain
108,Trairi,BR,-3.2778,-39.2689,84.38,58,24,15.1,few clouds
109,Dubasari,MD,47.2631,29.1608,48.99,52,1,5.03,clear sky
110,San Cristobal,VE,7.7669,-72.225,82.58,48,100,7.09,overcast clouds
111,Kavaratti,IN,10.5669,72.642,80.69,80,100,9.15,overcast clouds
112,Campbellsville,US,37.3434,-85.3419,71.73,25,0,3.0,clear sky
113,Bardiyah,LY,31.7561,25.0865,71.35,64,0,6.8,clear sky
114,Keighley,GB,53.8679,-1.9066,51.71,78,0,6.91,clear sky
115,Laguna,US,38.421,-121.4238,89.08,45,0,1.01,clear sky
116,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,11.5,scattered clouds
117,Grindavik,IS,63.8424,-22.4338,39.15,75,100,11.5,overcast clouds
118,Liverpool,GB,53.4106,-2.9779,53.82,74,40,8.05,scattered clouds
119,Chokwe,MZ,-24.5333,32.9833,72.1,87,0,6.93,clear sky
120,Cururupu,BR,-1.8283,-44.8683,86.79,52,75,8.21,broken clouds
121,Kutum,SD,14.2,24.6667,81.48,24,100,6.87,overcast clouds
122,Mondeville,FR,49.175,-0.3224,57.94,72,100,8.05,overcast clouds
123,Santa Lucia,ES,27.9117,-15.5407,67.77,73,20,23.02,few clouds
124,Bonavista,CA,48.6499,-53.1147,53.69,51,70,13.69,broken clouds
125,Aranos,NA,-24.1333,19.1167,77.23,13,14,11.65,few clouds
126,Aksu,CN,41.1231,80.2644,56.37,41,4,8.9,clear sky
127,Panjab,AF,34.388,67.0233,39.67,12,0,3.33,clear sky
128,Ostrovnoy,RU,68.0531,39.5131,40.39,89,100,13.15,overcast clouds
129,Saint-Joseph,RE,-21.3667,55.6167,70.18,79,28,7.27,scattered clouds
130,Salalah,OM,17.0151,54.0924,78.89,65,0,3.44,clear sky
131,Omboue,GA,-1.5746,9.2618,77.49,88,100,5.17,overcast clouds
132,Kaniama,CD,-7.5667,24.1833,73.45,50,15,3.98,few clouds
133,Namibe,AO,-15.1961,12.1522,68.88,85,60,11.97,broken clouds
134,Galle,LK,6.0367,80.217,77.95,86,88,8.12,overcast clouds
135,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,87,38,4.36,scattered clouds
136,Koungou,YT,-12.7336,45.2042,76.71,73,20,9.22,few clouds
137,Nanortalik,GL,60.1432,-45.2371,39.4,81,100,8.75,light rain
138,Miraflores,MX,19.2167,-98.8083,68.76,62,100,4.34,overcast clouds
139,Puerto Escondido,MX,15.85,-97.0667,86.83,54,40,8.05,scattered clouds
140,Xuddur,SO,4.1213,43.8894,76.51,64,84,18.32,broken clouds
141,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,20,9.22,few clouds
142,Yarim,YE,14.298,44.3779,58.69,41,17,9.69,few clouds
