City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Ponta Do Sol,PT,2022-10-10 01:55:37,32.6667,-17.1,70.43,71,14,3.94
116,Pirdop,BG,2022-10-10 01:55:38,42.7,24.1833,52.12,76,81,2.62
117,Zharkent,KZ,2022-10-10 01:55:39,44.1628,80.0,51.66,42,63,6.02
118,Gat,IL,2022-10-10 01:55:39,31.61,34.7642,68.4,100,0,2.13
119,Baghdad,IQ,2022-10-10 01:55:39,33.3406,44.4009,76.91,36,0,9.22
120,Salalah,OM,2022-10-10 01:55:40,17.0151,54.0924,73.27,64,83,1.1
121,Maceio,BR,2022-10-10 01:55:40,-9.6658,-35.7353,74.64,94,40,4.61
122,Kavaratti,IN,2022-10-10 01:55:41,10.5669,72.642,80.69,78,100,5.59
123,Menongue,AO,2022-10-10 01:55:41,-14.6585,17.691,61.05,30,8,4.72
124,Delta Del Tigre,UY,2022-10-10 01:55:42,-34.7633,-56.3853,54.9,64,0,7.81
125,Ravar,IR,2022-10-10 01:55:43,31.2656,56.8055,59.81,16,0,3.36
126,Beyneu,KZ,2022-10-10 01:55:43,45.3167,55.2,53.22,63,0,19.51
127,Kulachi,PK,2022-10-10 01:55:43,31.9286,70.4592,78.13,37,0,2.84
128,Kautokeino,NO,2022-10-10 01:55:44,69.0125,23.0412,34.63,77,68,4.88
129,Funtua,NG,2022-10-10 01:55:45,11.5233,7.3081,69.35,63,19,6.53
130,Barddhaman,IN,2022-10-10 01:55:45,23.25,87.85,80.38,86,11,5.48
131,Hualmay,PE,2022-10-10 01:55:46,-11.0964,-77.6139,62.64,84,27,8.48
132,Rorvik,NO,2022-10-10 01:55:46,64.8621,11.2373,51.91,62,100,9.22
133,Quatre Cocos,MU,2022-10-10 01:55:47,-20.2078,57.7625,69.91,71,38,13.29
134,Nuqui,CO,2022-10-10 01:56:47,5.7125,-77.2708,76.87,88,98,2.82
135,Karabuk,TR,2022-10-10 01:56:47,41.2049,32.6277,53.13,93,32,1.86
136,Sao Gabriel Da Cachoeira,BR,2022-10-10 01:56:48,-0.1303,-67.0892,75.42,81,49,2.33
137,Corner Brook,CA,2022-10-10 01:56:48,48.9667,-57.9484,46.56,95,100,9.48
138,Ayagoz,KZ,2022-10-10 01:56:49,47.9714,80.4392,37.9,76,10,4.36
139,Verkhniy Baskunchak,RU,2022-10-10 01:56:49,48.2256,46.7217,56.41,56,100,15.35
140,Keti Bandar,PK,2022-10-10 01:56:50,24.1447,67.4497,82.31,50,2,6.78
141,Pietermaritzburg,ZA,2022-10-10 01:56:50,-29.6168,30.3928,59.68,90,32,1.12
142,Talnakh,RU,2022-10-10 01:56:50,69.4865,88.3972,36.21,98,100,9.71
143,Lokosovo,RU,2022-10-10 01:56:51,61.1333,74.8167,40.26,93,100,8.72
144,Carnarvon,AU,2022-10-10 01:56:51,-24.8667,113.6333,68.54,61,84,21.83
145,Soyo,AO,2022-10-10 01:56:51,-6.1349,12.3689,75.38,88,44,8.25
146,Souillac,MU,2022-10-10 01:56:52,-20.5167,57.5167,70.18,78,20,11.5
147,Muscat,OM,2022-10-10 01:54:02,23.6139,58.5922,80.17,36,0,3.53
148,Bilma,NE,2022-10-10 01:56:52,18.6853,12.9164,80.85,20,0,6.53
149,Edd,ER,2022-10-10 01:56:53,13.9297,41.6925,87.53,60,91,8.77
150,Laguna,US,2022-10-10 01:56:53,38.421,-121.4238,85.64,43,0,9.22
151,San Cristobal,VE,2022-10-10 01:56:01,7.7669,-72.225,69.98,99,100,2.06
152,Ust-Kulom,RU,2022-10-10 01:56:54,61.6864,53.6902,45.97,91,100,6.4
153,Inhambane,MZ,2022-10-10 01:56:54,-23.865,35.3833,69.58,87,0,3.74
