,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Forestville,US,70.2,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
64,Dingle,PH,75.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
65,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
66,Lagoa,PT,70.38,overcast clouds,39.05,-27.9833,Casa Das Faias
67,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
68,Benguela,AO,73.2,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
71,Ambilobe,MG,69.04,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
72,Kruisfontein,ZA,69.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
74,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
77,Virpur,IN,77.88,clear sky,23.1833,73.4833,"Khodiyar temple, Gadheli"
81,Azul,AR,69.35,few clouds,-36.777,-59.8585,Cabañas Dulcinea
82,Batticaloa,LK,78.75,broken clouds,7.7102,81.6924,Grand Star Guest House
84,Bredasdorp,ZA,65.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
86,Odweyne,SO,79.2,overcast clouds,9.4092,45.064,Eng Hiirey House
87,Alto Araguaia,BR,70.25,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
93,Malanje,AO,73.54,scattered clouds,-9.5402,16.341,Hotel Ginga
94,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Saldanha,ZA,77.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
99,Fomboni,KM,77.0,light rain,-12.28,43.7425,Auberge les abou
104,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,departamento comodo
105,Sassandra,CI,75.94,few clouds,4.95,-6.0833,la terrasse
107,Adiake,CI,75.7,light rain,5.2863,-3.304,HOTEL COEUR D'OR
112,Campbellsville,US,71.73,clear sky,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
113,Bardiyah,LY,71.35,clear sky,31.7561,25.0865,بورتو بردية
116,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
119,Chokwe,MZ,72.1,clear sky,-24.5333,32.9833,Complexo Sonho Real
123,Santa Lucia,ES,67.77,few clouds,27.9117,-15.5407,Las Tirajanas
129,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
130,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
131,Omboue,GA,77.49,overcast clouds,-1.5746,9.2618,Hotel Olako
133,Namibe,AO,68.88,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
134,Galle,LK,77.95,overcast clouds,6.0367,80.217,Amangalla
135,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
136,Koungou,YT,76.71,few clouds,-12.7336,45.2042,Villa Netibor
138,Miraflores,MX,68.76,overcast clouds,19.2167,-98.8083,Hotel Mansión
140,Xuddur,SO,76.51,broken clouds,4.1213,43.8894,Banjanay Hotel
141,Ponta Delgada,PT,74.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
145,Chadiza,ZM,74.86,clear sky,-14.0678,32.4392,Sankhani Guest House
149,Antsohihy,MG,72.66,clear sky,-14.8796,47.9875,Hotel de Ville
153,Rawson,AR,72.39,clear sky,-43.3002,-65.1023,Hosteria Sampedro
156,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
157,Diego De Almagro,CL,71.87,clear sky,-26.3667,-70.05,hotel luna del desierto
158,Soyo,AO,77.04,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
160,Ponta Do Sol,PT,74.12,broken clouds,32.6667,-17.1,Hotel do Campo
164,Jacqueville,CI,77.9,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
165,Mut,TR,67.64,clear sky,36.6439,33.4389,Konak Otel
166,Hit,IQ,77.88,clear sky,33.6416,42.8251,المعلق حسان رزاق
173,Rio Tercero,AR,70.45,clear sky,-32.173,-64.1141,Hospedaje Las Violetas
175,Cozumel,MX,79.95,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
178,Sao Filipe,CV,78.84,scattered clouds,14.8961,-24.4956,Hotel Xaguate
180,Nizwa,OM,78.78,clear sky,22.9333,57.5333,Orient Apartments
184,Mandal,IN,77.09,clear sky,25.45,74.5667,Surpanch saab ki vatika
185,Ayacucho,PE,78.66,scattered clouds,-13.1583,-74.2239,Hotel Incasol
187,Grand Gaube,MU,72.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
188,Kikwit,CD,75.42,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
189,Nassau,US,70.88,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
195,Butler,US,73.62,clear sky,39.4501,-84.5666,The Lodge Activity Center
196,Yenagoa,NG,76.73,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
197,Hosdurga,IN,73.63,moderate rain,13.7981,76.2861,H K G N Egg rice corner
198,Sete,FR,66.06,overcast clouds,43.4018,3.6966,Hotel de Paris Sète
199,Farafangana,MG,68.88,clear sky,-22.8167,47.8333,Miarina
201,Moyale,KE,74.21,scattered clouds,3.5167,39.0584,La Tahzan Guest House
202,Buta,CD,70.65,light rain,2.7858,24.73,Hôtel BOPANDO
206,Puerto Madryn,AR,69.89,clear sky,-42.7692,-65.0385,Hotel Tolosa
207,Sarankhola,BD,77.29,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
208,Mayenne,FR,60.24,overcast clouds,48.3333,-0.6667,la Tour des Anglais
